"Date","Price","Open","High","Low","Vol.","Change %"
"08/18/2025","25,309.34","25,471.49","25,471.49","25,309.34","","-0.56%"
"08/15/2025","25,452.31","25,431.79","25,522.39","25,365.91","","0.67%"
"08/14/2025","25,281.70","25,129.46","25,285.07","25,115.39","","0.84%"
"08/13/2025","25,071.72","24,976.17","25,118.99","24,956.38","","0.66%"
"08/12/2025","24,906.11","24,831.60","24,926.42","24,742.56","","0.71%"
"08/11/2025","24,729.76","24,940.87","24,940.87","24,716.33","","-0.57%"
"08/08/2025","24,872.66","24,842.80","24,962.23","24,768.78","","0.44%"
"08/07/2025","24,764.47","24,578.39","24,855.39","24,558.53","","0.97%"
"08/06/2025","24,525.82","24,602.55","24,645.04","24,480.65","","0.18%"
"08/05/2025","24,480.89","24,638.80","24,638.80","24,447.24","","-0.14%"
"08/04/2025","24,516.10","24,357.95","24,518.56","24,322.59","","1.14%"
"08/01/2025","24,240.33","24,658.68","24,705.98","24,167.90","","-2.91%"
"07/31/2025","24,965.69","25,301.76","25,397.43","24,965.69","","-1.14%"
"07/30/2025","25,254.76","25,235.67","25,446.39","25,227.73","","0.06%"
"07/29/2025","25,240.00","25,167.64","25,456.05","25,161.83","","0.72%"
"07/28/2025","25,058.57","25,455.77","25,477.04","25,038.60","","-0.43%"
"07/25/2025","25,166.82","24,999.19","25,221.04","24,925.92","","0.21%"
"07/24/2025","25,114.47","25,291.86","25,370.63","25,047.01","","-0.41%"
"07/23/2025","25,217.75","25,183.33","25,280.45","25,108.04","","1.40%"
"07/22/2025","24,870.51","24,968.85","24,993.33","24,813.74","","-0.69%"
"07/21/2025","25,043.29","25,131.64","25,173.01","24,913.10","","-0.31%"
"07/18/2025","25,121.83","25,234.29","25,284.41","25,097.92","","0.01%"
"07/17/2025","25,119.68","25,031.09","25,119.74","24,996.51","","1.29%"
"07/16/2025","24,798.81","24,856.81","24,978.77","24,798.81","","-0.57%"
"07/15/2025","24,940.49","25,107.10","25,165.06","24,940.49","","-0.54%"
"07/14/2025","25,075.26","24,965.66","25,082.90","24,935.97","","-0.27%"
"07/11/2025","25,143.09","25,284.83","25,309.76","25,097.79","","-0.92%"
"07/10/2025","25,377.40","25,401.82","25,500.62","25,324.79","","0.30%"
"07/09/2025","25,301.00","25,046.86","25,327.73","25,018.68","","1.44%"
"07/08/2025","24,942.12","24,867.80","24,957.89","24,716.26","","0.56%"
"07/07/2025","24,803.25","24,741.39","24,827.37","24,670.46","","0.35%"
"07/04/2025","24,715.90","24,771.37","24,771.37","24,588.79","","-0.75%"
"07/03/2025","24,903.06","24,931.00","24,942.79","24,782.70","","0.21%"
"07/02/2025","24,851.25","24,762.32","24,954.11","24,645.10","","0.99%"
"07/01/2025","24,607.73","24,646.09","24,649.79","24,446.62","","0.02%"
"06/30/2025","24,602.35","24,758.48","24,758.48","24,585.89","","-0.33%"
"06/27/2025","24,684.62","24,433.66","24,684.62","24,422.77","","1.78%"
"06/26/2025","24,253.82","24,349.85","24,374.43","24,173.37","","-0.01%"
"06/25/2025","24,256.55","24,488.18","24,578.56","24,253.59","","-0.76%"
